DIV,WD,County,State,Station Name,DWR Abbrev,USGS Station ID,Data Source,Status,POR Start,POR End,UTM X,UTM Y,Location Accuracy,More Information,Location
1,1,,CO,"BOX ELDER CREEK NEAR HUDSON, CO",BOXHUDCO,,DWR,Historic,1942,1944,,,,https://dwr.state.co.us/Tools/Stations/BOXHUDCO,
1,7,JEFFERSON,CO,SWADLEY DITCH,SWADITCO,,DWR,Active,2020,2022,488004,4403147,GPS,https://dwr.state.co.us/Tools/Stations/SWADITCO,"(39.778184, -105.140093)"
2,14,,CO,WELTON DITCH,WLTDITCO,,DWR,Active,2021,2023,555346,4217810,GPS,https://dwr.state.co.us/Tools/Stations/WLTDITCO,"(38.106413, -104.368706)"
4,40,DELTA,CO,OVERLAND DITCH AT OAK MESA,OAKMSACO,,DWR,Active,2016,2023,265998,4314711,User supplied,https://dwr.state.co.us/Tools/Stations/OAKMSACO,"(38.950143, -107.700263)"
6,56,MOFFAT,CO,"VERMILLION CREEK AT INK SPRINGS RANCH, CO.",VERINKCO,09235450,USGS,Historic,1977,1981,185437.5,4519011.2,User supplied,https://dwr.state.co.us/Tools/Stations/VERINKCO,"(40.761912, -108.726505)"
3,22,CONEJOS,CO,"CONEJOS RIVER BELOW PLATORO RESERVOIR, CO.",CONPLACO,08245000,DWR,Active,1952,2023,363237.5,4135363.5,User supplied,https://dwr.state.co.us/Tools/Stations/CONPLACO,"(37.354923, -106.544233)"
5,36,SUMMIT,CO,"BLUE RIVER NEAR DILLON, CO",BLUNDICO,09046600,USGS,Active,1957,2023,409853.4,4380187.6,User supplied,https://dwr.state.co.us/Tools/Stations/BLUNDICO,"(39.566662, -106.049479)"
2,17,,CO,"ARF HEADGATE 27 (BENTS FORT, LOWER)",ARF27LCO,,DWR,Active,2017,2023,637661,4212596,,https://dwr.state.co.us/Tools/Stations/ARF27LCO,"(38.05065, -103.431037)"
1,3,WELD,CO,CANAL # 3 NEAR GREELEY,CANAL3CO,,DWR,Active,1997,2023,517152.3,4476923,User supplied,https://dwr.state.co.us/Tools/Stations/CANAL3CO,"(40.442787, -104.79776)"
1,65,,NE,"ARIKAREE RIVER AT HAIGLER, NEBR.",ARIKHANE,06821500,USGS,Active,1932,2023,758764.2,4435401,User supplied,https://dwr.state.co.us/Tools/Stations/ARIKHANE,"(40.029167, -101.9675)"
6,43,RIO BLANCO,CO,"DRY FORK NEAR RANGELY, CO.",DRYFRACO,09306237,USGS,Historic,1974,1982,198082.6,4425098.9,User supplied,https://dwr.state.co.us/Tools/Stations/DRYFRACO,"(39.922203, -108.532603)"
,99,,WY,"NORTH PLATTE RIVER BELOW GLENDO RESERVOIR, WY",,06652800,USGS,Historic,1957,2016,504296.2,4700510.1,User supplied,https://dwr.state.co.us/Tools/Stations/2733,"(42.456913, -104.947748)"
6,58,ROUTT,CO,LAKE CATAMOUNT SPILLWAY,YAMBELCO,,DWR,Active,1999,2023,347097,4469787,Digitized off map,https://dwr.state.co.us/Tools/Stations/YAMBELCO,"(40.364651, -106.800857)"
1,2,,CO,NEW BRANTNER RETURN TO BIG DRY CRK,0202992A,,DWR,Active,2022,2023,509245,4430670,GPS,https://dwr.state.co.us/Tools/Stations/0202992A,"(40.026199, -104.891662)"
5,38,EAGLE,CO,"CATTLE CREEK NEAR CARBONDALE, CO.",CATCARCO,09084000,USGS,Historic,1950,1972,323456.2,4370573.5,User supplied,https://dwr.state.co.us/Tools/Stations/CATCARCO,"(39.466661, -107.052283)"
3,22,CONEJOS,CO,MCINTIRE SPRINGS NEAR LASAUSES,MCILASCO,,DWR,Historic,2010,2022,427438,4126753,,https://dwr.state.co.us/Tools/Stations/MCILASCO,"(37.284554, -105.818586)"
2,67,PROWERS,CO,"WILD HORSE CREEK ABOVE HOLLY, CO",WILDHOCO,07134990,USGS,Active,1995,2022,751065.1,4216009,User supplied,https://dwr.state.co.us/Tools/Stations/WILDHOCO,"(38.057034, -102.138483)"
1,64,LOGAN,CO,HENDERSON SMITH DITCH,HENDITCO,,LPWCD,Active,2007,2023,653666,4498008,User supplied,https://dwr.state.co.us/Tools/Stations/HENDITCO,"(40.618627, -103.183339)"
1,7,JEFFERSON,CO,AGRICULTURAL DITCH RETURN TO CLEAR CREEK,AGGRTNCO,,DWR,Active,2015,2023,483933,4401946,GPS,https://dwr.state.co.us/Tools/Stations/AGGRTNCO,"(39.767296, -105.187602)"
,,COSTILLA,NM,"CERRO CANAL NEAR JAROSO, CO",,08259000,USGS,Historic,1965,1972,448636.3,4094444.8,User supplied,https://dwr.state.co.us/Tools/Stations/2251,"(36.994743, -105.577233)"
5,38,GARFIELD,CO,"FOURMILE CREEK NEAR GLENWOOD SPRINGS, CO.",FOUGLECO,09084600,USGS,Historic,1957,1965,299846.7,4363804.1,User supplied,https://dwr.state.co.us/Tools/Stations/FOUGLECO,"(39.400543, -107.324504)"
7,71,MONTEZUMA,CO,DOLORES RIVER AT DOLORES,DOLDOLCO,09166500,USGS,Active,1895,2023,190656,4153027,GPS,https://dwr.state.co.us/Tools/Stations/DOLDOLCO,"(37.472396, -108.497913)"
2,17,Otero,CO,ROCKY FORD RETURN FOR AURORA,RFDRETCO,,AURO,Active,1993,2023,604601.9,4217903.9,Digitized off map,https://dwr.state.co.us/Tools/Stations/RFDRETCO,"(38.102905, -103.806958)"
6,43,RIO BLANCO,CO,"STAKE SPRINGS DRAW NEAR RANGELY, CO.",STAKESCO,09306230,USGS,Historic,1974,1977,207625.1,4425251.8,User supplied,https://dwr.state.co.us/Tools/Stations/STAKESCO,"(39.926925, -108.421215)"
1,2,JEFFERSON,CO,S. INTERCEPTOR DITCH ABV. POND C-2 AT RFP,,395313105110500,USGS,Historic,1994,1996,484183.4,4415193.3,User supplied,https://dwr.state.co.us/Tools/Stations/2171,"(39.886657, -105.185003)"
6,57,ROUTT,CO,"WATERING TROUGH GULCH NEAR HAYDEN, CO.",WATERICO,09244460,USGS,Historic,1979,1981,306386.1,4472707.2,User supplied,https://dwr.state.co.us/Tools/Stations/WATERICO,"(40.38248, -107.280903)"
1,5,BOULDER,CO,CLOUGH AND TRUE DITCH,CLODITCO,,SLWCD,Active,2010,2023,482092,4449284,User supplied,https://dwr.state.co.us/Tools/Stations/CLODITCO,"(40.193764, -105.210401)"
2,11,EAGLE,CO,WURTZ EXTENSION,WUREXTCO,,DWR,Active,1991,2023,383462,4361453,User supplied,https://dwr.state.co.us/Tools/Stations/WUREXTCO,"(39.394716, -106.35337)"
1,4,LARIMER,CO,SAINT VRAIN SUPPLY CANAL TO HERTHA CREEK,SVSHERCO,,DWR,Historic,1954,2000,482183.5,4463849,User supplied,https://dwr.state.co.us/Tools/Stations/SVSHERCO,"(40.324987, -105.209724)"
2,10,,CO,"RESERVOIR NO. 1 SPILLWAY AT HUSTED RD AT USAFA, CO",,07103792,USGS,Historic,2018,2022,514373.9,4316925.8,User supplied,https://dwr.state.co.us/Tools/Stations/8850,"(39.001235, -104.83401)"
1,6,,CO,PANAMA RESERVOIR INLET,PNMAINCO,,DWR,Active,2020,2023,492239,4438419,Digitized off map,https://dwr.state.co.us/Tools/Stations/PNMAINCO,"(40.09603, -105.091059)"
1,8,DOUGLAS,CO,"CHERRY CREEK NEAR PARKER, CO",CHERRYCO,393109104464500,USGS,Active,1991,2023,518936.1,4374413.6,User supplied,https://dwr.state.co.us/Tools/Stations/CHERRYCO,"(39.519166, -104.77971)"
1,7,,CO,FALL RIVER RESERVOIR OUTLET,FALOUTCO,,DWR,Active,2020,2022,440934,4407975,GPS,https://dwr.state.co.us/Tools/Stations/FALOUTCO,"(39.819717, -105.690161)"
5,72,MESA,CO,"KIEFER EXTENSION GRAND VALLEY CA NR FRUITA, CO.",KIEXTECO,09106104,USGS,Historic,1975,1985,174098.7,4348569,User supplied,https://dwr.state.co.us/Tools/Stations/KIEXTECO,"(39.225263, -108.775109)"
1,8,,CO,RIVIERA LAKE INLET FROM AG DITCH,RIVLAKCO,,DWR,Active,2020,2023,495458.6,4391477.5,GPS,https://dwr.state.co.us/Tools/Stations/RIVLAKCO,"(39.673116, -105.052957)"
1,8,JEFFERSON,CO,LAST CHANCE DITCH 2,LC2DITCO,,DWR,Active,2015,2023,494957,4379791,Digitized off map,https://dwr.state.co.us/Tools/Stations/LC2DITCO,"(39.567809, -105.058721)"
1,3,LARIMER,CO,NORTH POUDRE CANAL,NPRCANCO,,NWSDR,Active,2015,2023,476727,4520303,User supplied,https://dwr.state.co.us/Tools/Stations/NPRCANCO,"(40.833435, -105.276041)"
1,3,LARIMER,CO,LARIMER COUNTY #2 @ 12 FT PARSHALL FLUME,LARNO2CO,,DWR,Active,1999,2023,487268,4497231.2,User supplied,https://dwr.state.co.us/Tools/Stations/LARNO2CO,"(40.62582, -105.150551)"
5,45,GARFIELD,CO,MINEOTA DITCH,4500693A,,DWR,Historic,2014,2014,275745.2,4376606.7,,https://dwr.state.co.us/Tools/Stations/4500693A,"(39.50986, -107.608458)"
